Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,tweet_tokens
17,3,1,2,0,0,bitch who do you love,"['bitch', 'love']"
18,3,0,3,0,0,bitches get cut off everyday b,"['bitch', 'get', 'cut', 'everyday', 'b']"
19,3,0,3,0,0,black bottle andamp a bad bitch,"['black', 'bottle', 'andamp', 'bad', 'bitch']"
20,3,0,3,0,0,broke bitch cant tell me nothing,"['broke', 'bitch', 'cant', 'tell', 'nothing']"
21,3,0,3,0,0,cancel that bitch like nino,"['cancel', 'bitch', 'like', 'nino']"
22,3,0,3,0,0,cant you see these hoes wont change,"['cant', 'see', 'hoe', 'wont', 'change']"
23,3,0,3,0,0,fuck no that bitch do not even suck dick andandand the kermit videos about to fuck instagram up,"['fuck', 'bitch', 'even', 'suck', 'dick', 'andandand', 'kermit', 'video', 'fuck', 'instagram']"
24,3,0,3,0,0,got ya bitch tip toeing on my hardwood floors and,"['got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floor']"
25,3,0,2,1,0,her pussy lips like heaven doors and,"['pussy', 'lip', 'like', 'heaven', 'door']"
26,3,0,3,0,0,hoe what it is hitting for,"['hoe', 'hitting']"
27,3,0,3,0,0,i met that pussy on ocean dr i gave that pussy a pill and,"['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill']"
28,3,0,3,0,0,i need a trippy bitch who fuck on hennessy,"['need', 'trippy', 'bitch', 'fuck', 'hennessy']"
29,3,0,3,0,0,i spend my money how i want bitch it is my business,"['spend', 'money', 'want', 'bitch', 'business']"
30,3,0,3,0,0,i text my old bitch my new bitch pussy wetter,"['text', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']"
31,3,0,3,0,0,i did say i am back to the old me but my old bitches would get excited and,"['say', 'back', 'old', 'old', 'bitch', 'would', 'get', 'excited']"
32,3,0,3,0,0,if you are not about that murder game pussy nigga shut up,"['murder', 'game', 'pussy', 'nigga', 'shut']"
33,3,0,3,0,0,if youre toes are not done you pussy stinks,"['youre', 'toe', 'done', 'pussy', 'stink']"
34,3,0,3,0,0,i am done with bitter bitches it is a wrap for that if you a angry bird theres a application for that,"['done', 'bitter', 'bitch', 'wrap', 'angry', 'bird', 'there', 'application']"
35,3,0,3,0,0,is that ya bitch,"['ya', 'bitch']"
36,3,0,3,0,0,it are not nothing to cut a bitch off,"['nothing', 'cut', 'bitch']"
37,3,0,3,0,0,jus meet son now he ya mane ass bitches,"['jus', 'meet', 'son', 'ya', 'mane', 'a', 'bitch']"
38,3,0,2,1,0,lames crying over hoes thats tears of a clown,"['lame', 'cry', 'hoe', 'thats', 'tear', 'clown']"
39,3,0,3,0,0,like snoop said in we do not love these hoes,"['like', 'snoop', 'said', 'love', 'hoe']"
40,3,0,1,2,1,momma said no pussy cats inside my doghouse,"['momma', 'said', 'pussy', 'cat', 'inside', 'doghouse']"
41,3,0,3,0,0,most hated but the hoes favorite,"['hated', 'hoe', 'favorite']"
42,3,0,3,0,0,nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,"['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yello', 'hoe', 'real', 'nice', 'body', 'south', 'chick', 'like', 'em', 'real', 'thick']"
43,3,0,3,0,0,pimps up pimps up hoes down future voice,"['pimp', 'pimp', 'hoe', 'future', 'voice']"
44,3,0,3,0,0,post a picture of that pussy get likes,"['post', 'picture', 'pussy', 'get', 'like']"
45,3,0,3,0,0,pussy is a powerful drug and,"['pussy', 'powerful', 'drug']"
46,3,0,3,0,0,quick piece of pussy call it a drive by,"['quick', 'piece', 'pussy', 'call', 'drive']"
47,3,0,3,0,0,running round here like some brand new pussy thats about to get fucked,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'get', 'fucked']"
48,3,0,3,0,0,these bitches even worst theyll send them guys for you,"['bitch', 'even', 'worst', 'theyll', 'send', 'guy']"
49,3,1,2,0,0,these hoes like niggas that spend money not talk about it,"['hoe', 'like', 'nigga', 'spend', 'money', 'talk']"
50,3,1,2,0,0,we do not trust these niggas all these bitches,"['trust', 'nigga', 'bitch']"
51,3,0,3,0,0,you all niggas b cuffing hoes cause you all are not never have bitches,"['nigga', 'b', 'cuffing', 'hoe', 'cause', 'never', 'bitch']"
52,3,0,3,0,0,you dodge a bullet and and all da bitches i cut off pregnant or bound to be thank god andand,"['dodge', 'bullet', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god', 'andand']"
53,3,0,3,0,0,young pill chamberlain these bitches love my music,"['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']"
54,3,0,2,1,0,andandandandandandandandandandand teanna trump probably cleaner than most of these twitter hoes but,"['andandandandandandandandandandand', 'teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoe']"
55,3,0,3,0,0,andandandandandandandandandand gay niggas couldnt wait to act like bitches tonight,"['andandandandandandandandandand', 'gay', 'nigga', 'couldnt', 'wait', 'act', 'like', 'bitch', 'tonight']"
56,3,0,3,0,0,andandand and ima steal his cat n replace it with a pitbull andandandand retweet he a bitch you should do it,"['andandand', 'ima', 'steal', 'cat', 'n', 'replace', 'pitbull', 'andandandand', 'retweet', 'bitch']"
57,3,0,3,0,0,andamp hes gone always be a hoe,"['andamp', 'he', 'gone', 'always', 'hoe']"
58,3,0,3,0,0,son of a bitch took my tic tacs i like this movie,"['son', 'bitch', 'took', 'tic', 'tacs', 'like', 'movie']"
59,3,0,3,0,0,all i wanna do is get money and fuck model bitches russell simmons,"['wan', 'na', 'get', 'money', 'fuck', 'model', 'bitch', 'russell', 'simmons']"
60,3,0,2,1,0,i probably wouldnandt mind school as much if we didnandt have to deal with bitch ass teachers retweet,"['probably', 'wouldnandt', 'mind', 'school', 'much', 'didnandt', 'deal', 'bitch', 'a', 'teacher', 'retweet']"
61,3,0,3,0,0,i am a fucking fag they said,"['fucking', 'fag', 'said']"
62,3,0,3,0,0,females think dating a pussy is cute now how does doing this stuff make him a pussy,"['female', 'think', 'dating', 'pussy', 'cute', 'stuff', 'make', 'pussy']"
63,3,0,0,3,1,simplyaddictedtoguys woof woof hot scally lad,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']"
64,3,0,3,0,0,have ya ever asked your bitch for other bitches kanye voice yes,"['ya', 'ever', 'asked', 'bitch', 'bitch', 'kanye', 'voice', 'yes']"
65,3,0,3,0,0,how you gone bring ur side bitch to a game where you know ya gf friends at andandandand i swear,"['gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friend', 'andandandand', 'swear']"
66,3,0,1,2,1,woof woof and hot soles,"['woof', 'woof', 'hot', 'sol']"
67,3,0,1,2,1,let me eat a oreo andamp do these dishes one oreo laughing out loud,"['let', 'eat', 'oreo', 'andamp', 'dish', 'one', 'oreo', 'laughing', 'loud']"
68,3,0,3,0,0,bitch fuck you maybe youll get better just,"['bitch', 'fuck', 'maybe', 'youll', 'get', 'better']"
69,3,1,2,0,0,fuck red malone man bitch ass niggah could you please use complete sentences,"['fuck', 'red', 'malone', 'man', 'bitch', 'a', 'niggah', 'could', 'please', 'use', 'complete', 'sentence']"
70,3,0,0,3,1,why the eggplant emoji doey he say she looked like scream laugh my ass off,"['eggplant', 'emoji', 'doey', 'say', 'looked', 'like', 'scream', 'laugh', 'a']"
71,3,0,3,0,0,hennessey venom gt and thats one sexy bitch,"['hennessey', 'venom', 'gt', 'thats', 'one', 'sexy', 'bitch']"
72,3,0,3,0,0,him seh me pussy wetter then a shower curtainandltlmao,"['seh', 'pussy', 'wetter', 'shower', 'curtainandltlmao']"
73,3,0,3,0,0,and every need to see that pic i just posted because that bitch just said the most racist shit,"['every', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit']"
74,3,1,2,0,0,yo fuck skateboarding all you all some wood pushing faggots man ball is life,"['yo', 'fuck', 'skateboarding', 'wood', 'pushing', 'faggot', 'man', 'ball', 'life']"
75,3,0,1,2,1,baby monkey bathtime awwwwe this is soooo adorable,"['baby', 'monkey', 'bathtime', 'awwwwe', 'soooo', 'adorable']"
76,3,0,3,0,0,andandandand i are not shit damn skippy laughing out loud,"['andandandand', 'shit', 'damn', 'skippy', 'laughing', 'loud']"
77,3,1,2,0,0,you ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b andgtchance,"['ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussyno', 'b', 'must', 'b', 'andgtchance']"
78,3,0,3,0,0,rings mvps bitches laughing out loud,"['ring', 'mvp', 'bitch', 'laughing', 'loud']"
79,3,1,2,0,0,people talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn,"['people', 'talk', 'bad', 'ghettohood', 'kid', 'growing', 'nigga', 'funnnnnnn']"
80,9,0,7,2,0,the facts on tattoostattoo hes a pussy with not tattooing them nipples,"['fact', 'tattoostattoo', 'he', 'pussy', 'tattooing', 'nipple']"
81,3,0,3,0,0,andandand retweet bitches be wanting to act like niggas so bad andandand that shit are not cuteeeee but niggas act like bitches,"['andandand', 'retweet', 'bitch', 'wanting', 'act', 'like', 'nigga', 'bad', 'andandand', 'shit', 'cuteeeee', 'nigga', 'act', 'like', 'bitch']"
82,3,0,3,0,0,get worshiping bitch woof woof,"['get', 'worshiping', 'bitch', 'woof', 'woof']"
83,3,1,2,0,0,wow retweet i am lost are those buttcheek piercings yeah shes a hoe,"['wow', 'retweet', 'lost', 'buttcheek', 'piercings', 'yeah', 'shes', 'hoe']"
84,3,0,3,0,0,ok sister shed rather be a broke bitch shrugs shell have to tell me how it works for her,"['ok', 'sister', 'shed', 'rather', 'broke', 'bitch', 'shrug', 'shell', 'tell', 'work']"
85,3,2,1,0,0,queer gaywad,"['queer', 'gaywad']"
87,3,0,3,0,0,forgot read my tweets after dat k it wasnt even funny laughing out loud,"['forgot', 'read', 'tweet', 'dat', 'k', 'wasnt', 'even', 'funny', 'laughing', 'loud']"
88,3,0,3,0,0,this bitch was so ungrateful fr lulwhore,"['bitch', 'ungrateful', 'fr', 'lulwhore']"
89,3,0,3,0,0,i been kidnapped yo bitch,"['kidnapped', 'yo', 'bitch']"
90,3,3,0,0,0,alsarabsss hes a beaner shake my head you can tell hes a mexican,"['alsarabsss', 'he', 'beaner', 'shake', 'head', 'tell', 'he', 'mexican']"
91,3,1,2,0,0,happy birthday nigs thanks yo,"['happy', 'birthday', 'nigs', 'thanks', 'yo']"
92,6,1,5,0,0,when ur teacher tells you that you have homework this bitch need to go,"['ur', 'teacher', 'tell', 'homework', 'bitch', 'need', 'go']"
93,3,1,2,0,0,that nigga was eating that hoe laughing out loud hell yea laughing out loud john paul nigga said john paul,"['nigga', 'eating', 'hoe', 'laughing', 'loud', 'hell', 'yea', 'laughing', 'loud', 'john', 'paul', 'nigga', 'said', 'john', 'paul']"
94,3,0,3,0,0,what would you all lil ugly bald headed bitches do if they stop making makeup andamp weave,"['would', 'lil', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'makeup', 'andamp', 'weave']"
95,3,1,2,0,0,leafs better win this damn game so i can go riot and shit you better start looting my nig,"['leaf', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'better', 'start', 'looting', 'nig']"
96,3,0,3,0,0,going back to school sucks more dick than the hoes who attend it,"['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']"
97,3,0,3,0,0,on my way to fuck yo bitch me as a year old,"['way', 'fuck', 'yo', 'bitch', 'year', 'old']"
98,3,0,3,0,0,how come you never bring me food i do not have a car retard,"['come', 'never', 'bring', 'food', 'car', 'retard']"
99,3,0,3,0,0,if richnow doesnt show up with hella tinder hoes i am not his friend anymore chill i brought like like prople,"['richnow', 'doesnt', 'show', 'hella', 'tinder', 'hoe', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'prople']"
100,3,1,2,0,0,how about them cowboys shutup pussy,"['cowboy', 'shutup', 'pussy']"
101,3,0,3,0,0,lmaooooooooooo this nigga andltbitch want likes for some depressing shitfoh,"['lmaooooooooooo', 'nigga', 'andltbitch', 'want', 'like', 'depressing', 'shitfoh']"
102,3,0,3,0,0,girl you know i was spitting that g shit to you andamp you was going lbvsbitch please,"['girl', 'know', 'spitting', 'g', 'shit', 'andamp', 'going', 'lbvsbitch', 'please']"
103,3,0,3,0,0,let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch do not trick me again,"['let', 'make', 'couple', 'tweet', 'cuzzo', 'page', 'wont', 'get', 'twitter', 'jaillmao', 'bitch', 'trick']"
104,3,0,2,1,0,harlem shake is just an excuse to go full retard for seconds,"['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']"
105,3,0,3,0,0,amen miley and but she do not need to act like a hoe just bc shes emotionally damaged foh,"['amen', 'miley', 'need', 'act', 'like', 'hoe', 'bc', 'shes', 'emotionally', 'damaged', 'foh']"
106,3,0,3,0,0,having one loyal female is wayyyyy better than having hoes i do not care and,"['one', 'loyal', 'female', 'wayyyyy', 'better', 'hoe', 'care']"
107,3,0,3,0,0,pussy licking pussy meow meow and and,"['pussy', 'licking', 'pussy', 'meow', 'meow']"
108,3,0,3,0,0,check out our th man even with all those forgot ny fans in the stands,"['check', 'th', 'man', 'even', 'forgot', 'ny', 'fan', 'stand']"
109,3,0,3,0,0,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,"['happen', 'vixen', 'ent', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']"
110,3,0,3,0,0,i am the bitch okay nudes pat andandand wow,"['bitch', 'okay', 'nude', 'pat', 'andandand', 'wow']"
111,3,3,0,0,0,youre fucking gay blacklisted hoe holding out for anyway,"['youre', 'fucking', 'gay', 'blacklisted', 'hoe', 'holding', 'anyway']"
112,3,0,3,0,0,the fuck be wrong with these bitches nobody knows,"['fuck', 'wrong', 'bitch', 'nobody', 'know']"
113,3,0,3,0,0,you all shut upp make me bitch,"['shut', 'upp', 'make', 'bitch']"
114,3,1,2,0,0,i hate a i am pregnant type of bitch,"['hate', 'pregnant', 'type', 'bitch']"
115,3,0,3,0,0,got bitches in the direct message but i do not ever readem which is y your top,"['got', 'bitch', 'direct', 'message', 'ever', 'readem', 'top']"
116,3,0,0,3,1,baseball season for the win this is where the love started,"['baseball', 'season', 'win', 'love', 'started']"
117,3,0,3,0,0,little stupid as bitch i do not fuck with yoooooouuuu,"['little', 'stupid', 'bitch', 'fuck', 'yoooooouuuu']"
118,3,0,3,0,0,she really asked me that dead ass serious though all i could say was bitch wheet laughing out loud,"['really', 'asked', 'dead', 'a', 'serious', 'though', 'could', 'say', 'bitch', 'wheet', 'laughing', 'loud']"
119,3,0,0,3,1,i am an early bird and i am a night owl so i am wise and have worms,"['early', 'bird', 'night', 'owl', 'wise', 'worm']"
120,3,0,1,2,1,overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day,"['overdosing', 'heavy', 'drug', 'doesnt', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']"
121,3,0,0,3,1,pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures,"['pit', 'bull', 'photographed', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']"
122,3,0,3,0,0,aw fag do not tweet aw to me laughing out loud,"['aw', 'fag', 'tweet', 'aw', 'laughing', 'loud']"
123,3,0,0,3,1,as long as the lakers trash from now on i could careless and thats real cc hahaha,"['long', 'lakers', 'trash', 'could', 'careless', 'thats', 'real', 'cc', 'hahaha']"
124,3,0,3,0,0,i didnt say anything though kiss me then forgot,"['didnt', 'say', 'anything', 'though', 'kiss', 'forgot']"
125,3,0,0,3,1,this the i play soccer cheat on girls and wear khaki coloured cargos haircut and yup,"['play', 'soccer', 'cheat', 'girl', 'wear', 'khaki', 'coloured', 'cargo', 'haircut', 'yup']"
126,3,0,3,0,0,i could go for a fat ass bitch on my lap same,"['could', 'go', 'fat', 'a', 'bitch', 'lap']"
127,3,0,3,0,0,missed calls andanddas yo po bitch twitter finna be screamn,"['missed', 'call', 'andanddas', 'yo', 'po', 'bitch', 'twitter', 'finna', 'screamn']"
128,6,0,6,0,0,ya side bitch gotta know it is rules to this shitanybody ask you my cousin from jersey thinkin about moving lmmfao andandandand,"['ya', 'side', 'bitch', 'got', 'ta', 'know', 'rule', 'shitanybody', 'ask', 'cousin', 'jersey', 'thinkin', 'moving', 'lmmfao', 'andandandand']"
129,3,0,3,0,0,and amo los pies fuck yeah,"['amo', 'los', 'pie', 'fuck', 'yeah']"
130,3,0,3,0,0,these hoes be thinking meat wont slap they ass andand ainna bruh,"['hoe', 'thinking', 'meat', 'wont', 'slap', 'a', 'andand', 'ainna', 'bruh']"
131,3,0,3,0,0,you all bitches wit no edges be doing the most talking andandandandandand,"['bitch', 'wit', 'edge', 'talking', 'andandandandandand']"
132,3,0,3,0,0,you all still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit,"['still', 'going', 'trick', 'treating', 'year', 'nahhell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']"
133,3,0,3,0,0,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck,"['wan', 'na', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']"
134,6,0,6,0,0,if she kiss you with her eyes open watch that bitchlmfao,"['kiss', 'eye', 'open', 'watch', 'bitchlmfao']"
135,3,0,3,0,0,you a woulda coulda shoulda ass hoe andand,"['woulda', 'coulda', 'shoulda', 'a', 'hoe', 'andand']"
136,3,0,3,0,0,happy bday bitch ass nigga preciate that bitch roll up,"['happy', 'bday', 'bitch', 'a', 'nigga', 'preciate', 'bitch', 'roll']"
137,3,0,3,0,0,used to send that bitch up,"['used', 'send', 'bitch']"
138,6,0,6,0,0,ugly bitches be like i am my own wcw duh bitch you are not nobody elsesandand,"['ugly', 'bitch', 'like', 'wcw', 'duh', 'bitch', 'nobody', 'elsesandand']"
139,3,1,2,0,0,nigga you know we hacky sack hoes nah i throw no look passes laugh my ass off,"['nigga', 'know', 'hacky', 'sack', 'hoe', 'nah', 'throw', 'look', 'pas', 'laugh', 'a']"
141,3,1,2,0,0,glad i am getting outta atlanta nothing but a bunch of niggas in andamp outta jail andamp dumb bitches with mad kids fuckin em,"['glad', 'getting', 'outta', 'atlanta', 'nothing', 'bunch', 'nigga', 'andamp', 'outta', 'jail', 'andamp', 'dumb', 'bitch', 'mad', 'kid', 'fuckin', 'em']"
142,3,0,1,2,1,this is not ghettoits smart i am doing this i do not care,"['ghettoits', 'smart', 'care']"
143,3,0,2,1,0,i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,"['would', 'wife', 'hoe', 'cuz', 'wouldnt', 'care', 'cheating', 'force', 'relationship', 'first', 'place']"
144,3,0,3,0,0,being single is not an excuse to be a hoe,"['single', 'excuse', 'hoe']"
145,3,1,2,0,0,white boy power bitch black power bitch,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']"
146,3,0,3,0,0,lets get drunk get blowed spit shit spark blunts andamp fuck hoes bro white dudes have no chill,"['let', 'get', 'drunk', 'get', 'blowed', 'spit', 'shit', 'spark', 'blunts', 'andamp', 'fuck', 'hoe', 'bro', 'white', 'dude', 'chill']"
147,3,0,3,0,0,bitch where you been around the world and back where you been,"['bitch', 'around', 'world', 'back']"
148,3,0,3,0,0,if i do not get my dick sucked at yo party by a bad bitch i am fr gone set it off andandandand by,"['get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', 'fr', 'gone', 'set', 'andandandand']"
149,3,0,2,1,0,is soooo cute but he probably has hoes on him a lot,"['soooo', 'cute', 'probably', 'hoe', 'lot']"
150,3,0,3,0,0,in every cartoon theirs alway a saving these hoes laugh my ass off laugh my ass off damn captain saveahoe,"['every', 'cartoon', 'alway', 'saving', 'hoe', 'laugh', 'a', 'laugh', 'a', 'damn', 'captain', 'saveahoe']"
151,3,0,1,2,1,who wants to get there nose in these bad bois then hot sox and legs,"['want', 'get', 'nose', 'bad', 'bois', 'hot', 'sox', 'leg']"
152,3,0,3,0,0,i wish i was a bitch like my brother keezy and ooooow i bet you do,"['wish', 'bitch', 'like', 'brother', 'keezy', 'ooooow', 'bet']"
153,6,0,6,0,0,if you dressed up as a cat for halloween you are basic or a pussy,"['dressed', 'cat', 'halloween', 'basic', 'pussy']"
154,4,0,4,0,0,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katieandlt,"['pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitch', 'gtfo', 'get', 'katieandlt']"
155,3,0,3,0,0,stop being scared to choke her during sex you bitch ass niggas sheandll like it says the guy who hits women out of bed foh,"['stop', 'scared', 'choke', 'sex', 'bitch', 'a', 'nigga', 'sheandll', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'foh']"
156,3,0,3,0,0,ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,"['ha', 'well', 'iguess', 'make', 'hoe', 'loyal', 'bro', 'theyll', 'never', 'loyal', 'hoe', 'nig']"
157,6,0,6,0,0,oh man it is am you off a molly ho where the fuck ya seed at,"['oh', 'man', 'molly', 'ho', 'fuck', 'ya', 'seed']"
158,3,0,3,0,0,youre not a man if you refer to every girl as a bitch,"['youre', 'man', 'refer', 'every', 'girl', 'bitch']"
159,3,0,3,0,0,laugh my fucking ass off this cat started beating the shit out of me my nigga finally got some pussy my nigga,"['laugh', 'fucking', 'a', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', 'nigga']"
160,3,0,1,2,1,peel up peel up bring it back up rewind back where i am from they move shaq from the line ooooow who tf said that trash,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', 'move', 'shaq', 'line', 'ooooow', 'tf', 'said', 'trash']"
161,3,0,2,1,0,io io alu record ho vine sai pe hahahaha laughing out loud anywaaaaaays haha,"['io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', 'laughing', 'loud', 'anywaaaaaays', 'haha']"
162,3,0,3,0,0,naw it is my old tape new cover my upcoming mixtape is yeah i am waiting on that hoe mayne,"['naw', 'old', 'tape', 'new', 'cover', 'upcoming', 'mixtape', 'yeah', 'waiting', 'hoe', 'mayne']"
163,3,0,3,0,0,ol dirty foot ass bitches this was too funny to me,"['ol', 'dirty', 'foot', 'a', 'bitch', 'funny']"
164,3,0,3,0,0,thats where i get my yellow flags for being amazing andand hell yeah niggy,"['thats', 'get', 'yellow', 'flag', 'amazing', 'andand', 'hell', 'yeah', 'niggy']"
165,3,0,3,0,0,do not got time for bitches to be actin iffy,"['got', 'time', 'bitch', 'actin', 'iffy']"
166,3,0,0,3,1,come on stay alive knights nation this is still the early bird special,"['come', 'stay', 'alive', 'knight', 'nation', 'still', 'early', 'bird', 'special']"
167,3,0,2,1,0,these hoes are not loyal no they are not smfh andamp wonder why nobody decent wants them,"['hoe', 'loyal', 'smfh', 'andamp', 'wonder', 'nobody', 'decent', 'want']"
168,3,0,3,0,0,bruh you studs keep thinking i am soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe,"['bruh', 'stud', 'keep', 'thinking', 'soft', 'hell', 'ask', 'ya', 'girl', 'many', 'time', 'screamed', 'bitch', 'oh', 'okay', 'stfu', 'bye', 'hoe']"
169,3,0,3,0,0,dry pussy bitches always blame it on the condomandandandandand,"['dry', 'pussy', 'bitch', 'always', 'blame', 'condomandandandandand']"
170,3,0,3,0,0,shut yo bitch ass up andand,"['shut', 'yo', 'bitch', 'a', 'andand']"
171,3,0,3,0,0,gucci mane in jail and dropping mixtapes every month and you hoes cant even text back,"['gucci', 'mane', 'jail', 'dropping', 'mixtapes', 'every', 'month', 'hoe', 'cant', 'even', 'text', 'back']"
172,3,0,3,0,0,you love these hoes more then money wats wrong these niggas,"['love', 'hoe', 'money', 'wats', 'wrong', 'nigga']"
173,6,0,6,0,0,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there laughing out loud,"['loyal', 'bitch', 'burbs', 'without', 'daddy', 'issue', 'like', 'finding', 'holographic', 'mewtwo', 'sounding', 'like', 'laughing', 'loud']"
174,3,0,3,0,0,easy cum easy hoe thats a fact,"['easy', 'cum', 'easy', 'hoe', 'thats', 'fact']"
175,3,0,3,0,0,charlie sheen is too real major fucking respect for charlie sheen,"['charlie', 'sheen', 'real', 'major', 'fucking', 'respect', 'charlie', 'sheen']"
176,3,0,3,0,0,wish i had a before anyone else and you got all the hoes though,"['wish', 'anyone', 'else', 'got', 'hoe', 'though']"
177,3,0,3,0,0,fuck twerking bitch can you cook,"['fuck', 'twerking', 'bitch', 'cook']"
178,3,0,3,0,0,bitch what the fuck,"['bitch', 'fuck']"
179,3,1,2,0,0,and shut up zoe fight me pussyand for zoe i am good man you are good maam move along now,"['shut', 'zoe', 'fight', 'pussyand', 'zoe', 'good', 'man', 'good', 'maam', 'move', 'along']"
180,3,0,3,0,0,laugh my ass off fucking snake bitches em,"['laugh', 'a', 'fucking', 'snake', 'bitch', 'em']"
181,3,0,3,0,0,big booty hoes everywhere sheesh and damn andandand,"['big', 'booty', 'hoe', 'everywhere', 'sheesh', 'damn', 'andandand']"
